代码,名称,总市值
159869,游戏ETF,5641672737
516770,游戏ETF华泰柏瑞,148850520
516000,数据ETF,289403355
516010,游戏ETF,1463250454
560260,医疗ETF龙头,1720104940
516700,大数据产业ETF,85490174
515400,大数据ETF,1342162248
562570,信创ETF,254740376
516510,云计算ETF,1796661810
159847,医疗ETF易方达,840349096
159568,港股互联网ETF,179411869
516630,云计算50ETF,244730772
562030,信创ETF基金,67363040
159739,大数据ETF,264296942
159828,医疗ETF,2292813804
560850,信创50ETF,266599608
512170,医疗ETF,26066746700
159890,云计算ETF,247113066
159797,医疗器械ETF基金,58791570
513770,港股互联网ETF,3453419012
159792,港股通互联网ETF,28732673295
517200,互联网ETF,142935524
560360,软件指数ETF,212384490
513040,港股通互联网ETF,270334011
159852,软件ETF,2660679476
159728,在线消费ETF,68674173
562930,软件ETF易方达,150179520
159898,医疗器械指数ETF,186988863
159877,医疗产业ETF,90324583
159303,恒生医疗ETF基金,119161389
515230,软件ETF,1501745951
159883,医疗器械ETF,1755760185
159613,信息安全ETF,83744315
561010,软件ETF基金,143291676
517390,云计算沪港深ETF,122346412
159527,数据ETF,94080455
516790,医疗ETF华泰柏瑞,136541909
159873,医疗设备ETF,84091920
513060,恒生医疗ETF,15044359838
513700,香港医药ETF,908879316
516610,医疗服务ETF,78143375
159891,医疗ETF基金,122411174
513200,港股通医药ETF,2409015597
562600,医疗器械ETF,58904912
560660,云50ETF,73034258
159725,线上消费ETF,60190253
159856,互联网龙头ETF,356605202
159506,恒生医疗ETF,563883278
159738,云计算ETF华泰柏瑞,166614379
159586,计算机ETF南方,158322966
512720,计算机ETF,1124173158
159998,计算机ETF,2801791744
517050,互联网ETF华泰柏瑞,515060702
159718,港股医药ETF,206558228
159557,恒生医疗指数ETF,230582287
159899,软件龙头ETF,311212931
159590,软件50ETF,235835501
562920,信息安全ETF,70422450
159615,恒生生物科技ETF,328349337
159729,互联网ETF,97993533
516500,生物科技ETF,108373199
520500,恒生创新药ETF,75797215
159776,港股通医药ETF,118273606
159748,创新药ETF富国,236979744
516930,生物科技ETF基金,35937891
159849,生物科技指数ETF,74751888
513120,港股创新药ETF,8489995799
159892,恒生医药ETF,4189721780
513280,恒生生物科技ETF,195275303
159837,生物科技ETF,1315307386
159688,恒生互联网ETF,623271296
512290,生物医药ETF,3948784538
520700,港股创新药ETF基金,92387592
159622,创新药ETF沪港深,191648623
513050,中概互联网ETF,39980840079
159751,港股科技ETF,282616817
513020,港股科技ETF,341241551
513330,恒生互联网ETF,27357896687
513780,港股创新药50ETF,113969058
159636,港股通科技30ETF,10327439879
513860,港股通科技ETF,1099357072
517110,创新药沪深港ETF,264793892
159605,中概互联ETF,6765713064
517990,医药ETF沪港深,41900780
588860,科创医药ETF,479260746
517120,创新药ETF华泰柏瑞,326251898
159607,中概互联网ETF,1804591125
560300,电信50ETF,46432964
513150,港股通科技ETF华泰柏瑞,158223503
513980,港股科技50ETF,6730393926
159778,工业互联ETF,56981887
159839,生物药ETF,576863427
513220,中概互联ETF,221415564
588700,科创医药指数ETF,298474854
159537,信创ETF,99098884
563010,电信ETF,118403069
512010,医药ETF,23274679558
159859,生物医药ETF,3215518577
159511,通信ETF基金,65998869
159540,信创ETF易方达,166733842
517380,创新药沪港深ETF,239936204
159838,医药50ETF,219764610
159538,信创ETF富国,55334264
516820,医疗创新ETF,1711751742
159567,港股创新药ETF,411432161
159508,生物医药ETF基金,41640172
159643,疫苗ETF,64004808
159570,港股通创新药ETF,770387064
513130,恒生科技ETF,21884193316
159657,生物疫苗ETF,129532573
561920,疫苗龙头ETF,23128416
515070,人工智能AIETF,3808942330
560690,电信ETF基金,30557044
159819,人工智能ETF,11510934159
159750,港股科技50ETF,142448977
159363,创业板人工智能ETF华宝,795314672
159747,香港科技ETF,366273704
159539,信创50ETF,102801172
159929,医药ETF,2273320774
515980,人工智能ETF,2194262688
159561,德国ETF,443519345
159740,恒生科技ETF,4370860121
513350,标普油气ETF,311836854
513070,港股消费ETF易方达,213035714
512930,AI人工智能ETF,1450824592
159755,电池ETF,3308510231
513320,恒生新经济ETF,311539589
513590,香港消费ETF,227553886
159723,科技龙头ETF,73652248
159760,医疗健康ETF泰康,88335488
159645,疫苗ETF富国,20523377
516380,智能电动车ETF,108475977
513380,恒生科技ETF龙头,3487081440
515960,医药健康ETF,237244090
159808,创100ETF融通,132850830
513230,港股消费ETF,206635804
517350,中概科技ETF,89357554
159851,金融科技ETF,4765186616
513180,恒生科技指数ETF,24070460193
513160,港股科技30ETF,538885880
516860,金融科技ETF,991518442
159773,创业板科技ETF,283931474
515950,医药龙头ETF,678491125
